,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
10,2000,1,1000,16.571209192276,reweight_LS,6.545319841677611e-16,4.1944225870338414e-16,1.0,0.8
11,2000,1,1000,593.3699593544006,SPO,6.545319841677611e-16,1.9778796764927665e-05,,
12,2000,1,1000,8.423549890518188,LS,6.398770402427089e-16,4.1944225870338414e-16,,
13,2000,1,1000,16.660314083099365,reweight_LS,6.398770402427089e-16,4.1944225870338414e-16,1.0,0.2
14,2000,1,1000,17.07896661758423,reweight_LS,6.398770402427089e-16,4.1944225870338414e-16,1.0,0.4
15,2000,1,1000,18.424301624298096,reweight_LS,6.398770402427089e-16,4.1944225870338414e-16,1.0,0.6
16,2000,1,1000,16.68127679824829,reweight_LS,6.398770402427089e-16,4.1944225870338414e-16,1.0,0.8
17,2000,1,1000,601.9518439769745,SPO,6.1273415821035405e-06,3.80392948786159e-05,,
18,2000,1,1000,8.615345001220703,LS,6.440403765850533e-16,4.1944225870338414e-16,,
19,2000,1,1000,17.060532808303833,reweight_LS,6.440403765850533e-16,4.1944225870338414e-16,1.0,0.2
20,2000,1,1000,17.523082733154297,reweight_LS,6.440403765850533e-16,4.1944225870338414e-16,1.0,0.4
21,2000,1,1000,18.91621685028076,reweight_LS,6.440403765850533e-16,4.1944225870338414e-16,1.0,0.6
22,2000,1,1000,16.853211879730225,reweight_LS,6.440403765850533e-16,4.1944225870338414e-16,1.0,0.8
23,2000,1,1000,606.0080978870392,SPO,1.0700583712963674e-07,4.410376092463531e-05,,
24,2000,1,1000,8.520962953567505,LS,6.313838341043266e-16,4.1944225870338414e-16,,
25,2000,1,1000,16.81331181526184,reweight_LS,6.313838341043266e-16,4.1944225870338414e-16,1.0,0.2
26,2000,1,1000,17.31739902496338,reweight_LS,6.313838341043266e-16,4.1944225870338414e-16,1.0,0.4
27,2000,1,1000,18.719165086746216,reweight_LS,6.313838341043266e-16,4.1944225870338414e-16,1.0,0.6
28,2000,1,1000,16.674311876296997,reweight_LS,6.313838341043266e-16,4.1944225870338414e-16,1.0,0.8
29,2000,1,1000,605.1502549648285,SPO,6.313838341043266e-16,2.9135116477639e-05,,
30,2000,1,1000,8.477977991104126,LS,5.618283616115605e-16,4.1944225870338414e-16,,
31,2000,1,1000,16.781395196914673,reweight_LS,5.618283616115605e-16,4.1944225870338414e-16,1.0,0.2
32,2000,1,1000,17.35507607460022,reweight_LS,5.618283616115605e-16,4.1944225870338414e-16,1.0,0.4
33,2000,1,1000,18.551614999771118,reweight_LS,5.618283616115605e-16,4.1944225870338414e-16,1.0,0.6
34,2000,1,1000,16.52889585494995,reweight_LS,5.618283616115605e-16,4.1944225870338414e-16,1.0,0.8
35,2000,1,1000,602.6492609977722,SPO,5.618283616115605e-16,4.115377283613131e-05,,
36,2000,1,1000,8.44505500793457,LS,5.74429392941056e-16,4.1944225870338414e-16,,
37,2000,1,1000,16.704090118408203,reweight_LS,5.74429392941056e-16,4.1944225870338414e-16,1.0,0.2
38,2000,1,1000,17.290681838989258,reweight_LS,5.74429392941056e-16,4.1944225870338414e-16,1.0,0.4
39,2000,1,1000,18.400837182998657,reweight_LS,5.74429392941056e-16,4.1944225870338414e-16,1.0,0.6
40,2000,1,1000,16.4566011428833,reweight_LS,5.74429392941056e-16,4.1944225870338414e-16,1.0,0.8
41,2000,1,1000,602.6351881027222,SPO,1.8318311972151946e-06,2.1354767618071645e-05,,
42,2000,1,1000,8.508652925491333,LS,5.884737142025643e-16,4.1944225870338414e-16,,
43,2000,1,1000,16.846272706985474,reweight_LS,5.884737142025643e-16,4.1944225870338414e-16,1.0,0.2
44,2000,1,1000,18.041121006011963,reweight_LS,5.884737142025643e-16,4.1944225870338414e-16,1.0,0.4
45,2000,1,1000,18.132915019989014,reweight_LS,5.884737142025643e-16,4.1944225870338414e-16,1.0,0.6
46,2000,1,1000,16.418275833129883,reweight_LS,5.884737142025643e-16,4.1944225870338414e-16,1.0,0.8
47,2000,1,1000,602.6463737487793,SPO,3.3624325493529226e-06,9.205577363510797e-05,,
0,100,2,1000,2.364423990249634,LS,7.821033623925494,9.02034482374422,,
1,100,2,1000,5.387642860412598,reweight_LS,8.18324489415362,8.961058327041043,1.0,0.2
2,100,2,1000,5.340451717376709,reweight_LS,8.188349680917106,9.034601751000807,1.0,0.4
3,100,2,1000,5.435074090957642,reweight_LS,9.136953943958947,9.955209259331136,1.0,0.6
4,100,2,1000,5.346433162689209,reweight_LS,7.999216033032651,9.607917618466415,1.0,0.8
5,100,2,1000,59.534667015075684,SPO,7.618214168481602,8.652562107076031,,
6,100,2,1000,2.612185001373291,LS,6.6178962429217725,8.617035743575245,,
7,100,2,1000,5.6182310581207275,reweight_LS,6.844405319635092,8.56983874550091,1.0,0.2
8,100,2,1000,5.68125319480896,reweight_LS,6.7321793127520495,8.5575067245189,1.0,0.4
9,100,2,1000,5.757563829421997,reweight_LS,6.340838939275443,8.208009465581505,1.0,0.6
10,100,2,1000,5.570586919784546,reweight_LS,8.762435822083777,10.421225871789181,1.0,0.8
11,100,2,1000,60.39402103424072,SPO,5.758463006857502,8.07938852632023,,
12,100,2,1000,2.6842219829559326,LS,6.179912282293512,6.739111003353997,,
13,100,2,1000,5.668416738510132,reweight_LS,6.319088182060415,6.834806346257279,1.0,0.2
14,100,2,1000,5.7461278438568115,reweight_LS,5.348476098550257,6.744328807191725,1.0,0.4
15,100,2,1000,5.80176305770874,reweight_LS,5.582862684408809,7.201889458994777,1.0,0.6
16,100,2,1000,5.613524913787842,reweight_LS,9.669734483517082,9.86328161938807,1.0,0.8
17,100,2,1000,60.12020301818848,SPO,5.2999416432641935,6.615427678570991,,
18,100,2,1000,2.7854740619659424,LS,7.517170760896557,8.9330507640627,,
19,100,2,1000,5.8257739543914795,reweight_LS,6.912255609704948,8.838804688007912,1.0,0.2
20,100,2,1000,5.881537199020386,reweight_LS,7.465249652030118,9.121516741045932,1.0,0.4
